Song,Date,Number of Plays
Sweet Child o' Mine,2022-12-11,19469
Wonderwall,2022-12-02,57456
Yesterday,2022-12-06,91043
Imagine,2022-12-04,29042
Imagine,2022-12-01,39223
Hotel California,2022-12-10,40909
Wonderwall,2022-12-06,29835
Sweet Child o' Mine,2022-12-04,42247
Like a Rolling Stone,2022-12-14,49220
Like a Rolling Stone,2022-12-03,7138
Hotel California,2022-12-02,96191
Sweet Child o' Mine,2022-12-13,42210
Like a Rolling Stone,2022-12-14,92152
Imagine,2022-12-04,58732
Hey Jude,2022-12-14,79226
Wonderwall,2022-12-08,79965
Hey Jude,2022-12-11,30798
Like a Rolling Stone,2022-12-08,86748
Hotel California,2022-12-14,84099
Smells Like Teen Spirit,2022-12-08,5360
Hotel California,2022-12-01,3011
Wonderwall,2022-12-07,41347
Wonderwall,2022-12-11,39907
Like a Rolling Stone,2022-12-09,90389
Bohemian Rhapsody,2022-12-09,2411
Like a Rolling Stone,2022-12-04,27878
Bohemian Rhapsody,2022-12-03,20532
Smells Like Teen Spirit,2022-12-10,58997
Imagine,2022-12-10,31710
Imagine,2022-12-12,30290
Wonderwall,2022-12-10,23903
Like a Rolling Stone,2022-12-03,30122
Stairway to Heaven,2022-12-13,98889
Smells Like Teen Spirit,2022-12-08,46121
Hey Jude,2022-12-09,26157
Sweet Child o' Mine,2022-12-04,24575
Imagine,2022-12-04,61111
Sweet Child o' Mine,2022-12-01,75780
Yesterday,2022-12-05,38429
Sweet Child o' Mine,2022-12-03,56565
Hotel California,2022-12-13,58901
Imagine,2022-12-14,70939
Hey Jude,2022-12-09,23425
Yesterday,2022-12-10,32407
Bohemian Rhapsody,2022-12-07,84043
Wonderwall,2022-12-07,22354
Smells Like Teen Spirit,2022-12-10,85603
Smells Like Teen Spirit,2022-12-04,98694
Yesterday,2022-12-03,92305
Sweet Child o' Mine,2022-12-09,93140
Hotel California,2022-12-10,2269
Hotel California,2022-12-11,95981
Yesterday,2022-12-03,7553
Hey Jude,2022-12-13,466
Smells Like Teen Spirit,2022-12-12,87517
Hey Jude,2022-12-05,44343
Yesterday,2022-12-14,14266
Yesterday,2022-12-02,69680
Sweet Child o' Mine,2022-12-04,9009
Hotel California,2022-12-03,67588
Wonderwall,2022-12-07,75096
Imagine,2022-12-14,70858
Hotel California,2022-12-12,35291
Hey Jude,2022-12-01,42656
Smells Like Teen Spirit,2022-12-04,83464
Wonderwall,2022-12-03,60082
Like a Rolling Stone,2022-12-04,64470
Wonderwall,2022-12-13,57446
Sweet Child o' Mine,2022-12-07,7792
Like a Rolling Stone,2022-12-14,12119
Hey Jude,2022-12-12,82681
Bohemian Rhapsody,2022-12-08,11447
Wonderwall,2022-12-06,5248
Imagine,2022-12-02,93256
Hotel California,2022-12-12,80770
Hotel California,2022-12-02,7483
Imagine,2022-12-14,35566
Yesterday,2022-12-10,28565
Smells Like Teen Spirit,2022-12-13,75365
Like a Rolling Stone,2022-12-01,82173
Like a Rolling Stone,2022-12-07,41206
Hey Jude,2022-12-12,47266
Imagine,2022-12-09,10149
Wonderwall,2022-12-12,37539
Imagine,2022-12-12,5877
Hey Jude,2022-12-12,78299
Stairway to Heaven,2022-12-04,83763
Hotel California,2022-12-13,24046
Bohemian Rhapsody,2022-12-01,12292
Like a Rolling Stone,2022-12-01,96727
Like a Rolling Stone,2022-12-14,56941
Imagine,2022-12-10,45289
Stairway to Heaven,2022-12-14,45754
Bohemian Rhapsody,2022-12-12,17816
Bohemian Rhapsody,2022-12-11,52490
Sweet Child o' Mine,2022-12-14,21286
Sweet Child o' Mine,2022-12-10,47521
Wonderwall,2022-12-03,38762
Smells Like Teen Spirit,2022-12-02,90391
Smells Like Teen Spirit,2022-12-09,85135
Hey Jude,2022-12-04,60871
Imagine,2022-12-12,51795
Smells Like Teen Spirit,2022-12-06,97533
Stairway to Heaven,2022-12-02,27308
Stairway to Heaven,2022-12-06,92214
Like a Rolling Stone,2022-12-14,81679
Bohemian Rhapsody,2022-12-10,89559
Like a Rolling Stone,2022-12-08,72864
Imagine,2022-12-14,89176
Smells Like Teen Spirit,2022-12-01,62937
Like a Rolling Stone,2022-12-10,65047
Hotel California,2022-12-03,26740
Imagine,2022-12-14,46058
Hey Jude,2022-12-12,17187
Yesterday,2022-12-09,52363
Bohemian Rhapsody,2022-12-09,74225
Stairway to Heaven,2022-12-10,7285
Sweet Child o' Mine,2022-12-13,73333
Stairway to Heaven,2022-12-08,48817
Yesterday,2022-12-09,80868
Wonderwall,2022-12-11,55091
Hey Jude,2022-12-10,239
Yesterday,2022-12-14,84271
Imagine,2022-12-11,16575
Bohemian Rhapsody,2022-12-02,20036
Hey Jude,2022-12-07,49972
Bohemian Rhapsody,2022-12-10,92060
Smells Like Teen Spirit,2022-12-01,47054
Bohemian Rhapsody,2022-12-05,73134
Hotel California,2022-12-03,83963
Yesterday,2022-12-12,45707
Hotel California,2022-12-03,79623
Hotel California,2022-12-07,29358
Imagine,2022-12-02,73046
Sweet Child o' Mine,2022-12-04,76045
Stairway to Heaven,2022-12-03,24226
Imagine,2022-12-13,74768
Yesterday,2022-12-12,13391
Like a Rolling Stone,2022-12-02,60435
Bohemian Rhapsody,2022-12-04,14486
Bohemian Rhapsody,2022-12-08,6148
Smells Like Teen Spirit,2022-12-05,98444
Sweet Child o' Mine,2022-12-03,50619
Imagine,2022-12-07,15274
Yesterday,2022-12-04,4216
Wonderwall,2022-12-09,65505
Imagine,2022-12-10,21122
Like a Rolling Stone,2022-12-12,70881
Hotel California,2022-12-13,3827
Hey Jude,2022-12-10,80194
Stairway to Heaven,2022-12-13,44833
Smells Like Teen Spirit,2022-12-01,411
Imagine,2022-12-02,58883
Like a Rolling Stone,2022-12-05,65755
Wonderwall,2022-12-08,31719
Hey Jude,2022-12-09,795
Yesterday,2022-12-06,76585
Sweet Child o' Mine,2022-12-01,43707
Yesterday,2022-12-02,45489
Bohemian Rhapsody,2022-12-13,68340
Bohemian Rhapsody,2022-12-13,94700
Hey Jude,2022-12-01,2454
Hey Jude,2022-12-05,20031
Wonderwall,2022-12-11,67752
Smells Like Teen Spirit,2022-12-03,15772
Stairway to Heaven,2022-12-04,7765
Imagine,2022-12-01,53779
Stairway to Heaven,2022-12-12,89067
Yesterday,2022-12-06,53137
Hey Jude,2022-12-05,27464
Sweet Child o' Mine,2022-12-13,50792
Wonderwall,2022-12-02,86719
Yesterday,2022-12-12,46435
Wonderwall,2022-12-04,18186
Bohemian Rhapsody,2022-12-06,65238
Smells Like Teen Spirit,2022-12-04,69701
Smells Like Teen Spirit,2022-12-08,30871
Smells Like Teen Spirit,2022-12-01,21703
Bohemian Rhapsody,2022-12-03,66560
Yesterday,2022-12-06,74515
Bohemian Rhapsody,2022-12-14,25268
Yesterday,2022-12-03,4694
Stairway to Heaven,2022-12-02,84856
Hotel California,2022-12-02,2737
Hey Jude,2022-12-14,81008
Hey Jude,2022-12-09,77570
Yesterday,2022-12-10,25889
Smells Like Teen Spirit,2022-12-06,13771
Imagine,2022-12-07,99297
Yesterday,2022-12-13,23005
Stairway to Heaven,2022-12-09,64098
Like a Rolling Stone,2022-12-11,9174
Yesterday,2022-12-05,70443
Bohemian Rhapsody,2022-12-09,30596
Stairway to Heaven,2022-12-08,49803
Hey Jude,2022-12-10,34678
Hey Jude,2022-12-08,26972
Hey Jude,2022-12-12,58558
Yesterday,2022-12-02,20433
Bohemian Rhapsody,2022-12-12,73377
Bohemian Rhapsody,2022-12-09,62145
Sweet Child o' Mine,2022-12-08,74588
Sweet Child o' Mine,2022-12-14,33907
Wonderwall,2022-12-08,24227
Smells Like Teen Spirit,2022-12-14,1673
Stairway to Heaven,2022-12-04,59422
Sweet Child o' Mine,2022-12-07,42573
Bohemian Rhapsody,2022-12-04,13914
Like a Rolling Stone,2022-12-05,47103
Smells Like Teen Spirit,2022-12-14,28397
Bohemian Rhapsody,2022-12-07,64731
Hotel California,2022-12-06,55940
Imagine,2022-12-10,51209
Bohemian Rhapsody,2022-12-10,17251
Hey Jude,2022-12-06,58962
Like a Rolling Stone,2022-12-11,51005
Wonderwall,2022-12-07,74190
Hotel California,2022-12-03,67050
Imagine,2022-12-09,90483
Imagine,2022-12-12,30331
Sweet Child o' Mine,2022-12-12,98753
Smells Like Teen Spirit,2022-12-05,6557
Sweet Child o' Mine,2022-12-02,32693
Imagine,2022-12-07,12455
Yesterday,2022-12-07,65776
Imagine,2022-12-09,94557
Hotel California,2022-12-12,56993
Sweet Child o' Mine,2022-12-11,95870
Bohemian Rhapsody,2022-12-08,6564
Hotel California,2022-12-01,3435
Sweet Child o' Mine,2022-12-01,94481
Imagine,2022-12-05,70937
Imagine,2022-12-07,35632
Wonderwall,2022-12-02,73357
Sweet Child o' Mine,2022-12-03,65548
Hotel California,2022-12-13,76546
Bohemian Rhapsody,2022-12-08,24663
Imagine,2022-12-10,79255
Imagine,2022-12-11,49605
Sweet Child o' Mine,2022-12-09,43027
Wonderwall,2022-12-08,40664
Smells Like Teen Spirit,2022-12-04,8023
Sweet Child o' Mine,2022-12-01,17954
Yesterday,2022-12-09,22284
Bohemian Rhapsody,2022-12-06,60111
Bohemian Rhapsody,2022-12-08,25600
Yesterday,2022-12-13,51061
Smells Like Teen Spirit,2022-12-14,153
Yesterday,2022-12-14,77735
Yesterday,2022-12-01,42707
Imagine,2022-12-03,40368
Like a Rolling Stone,2022-12-02,80319
Yesterday,2022-12-07,75043
Stairway to Heaven,2022-12-14,81465
Yesterday,2022-12-11,22612
Stairway to Heaven,2022-12-01,41995
Like a Rolling Stone,2022-12-05,76760
Sweet Child o' Mine,2022-12-13,80696
Stairway to Heaven,2022-12-14,46546
Bohemian Rhapsody,2022-12-03,75695
Stairway to Heaven,2022-12-11,33412
Stairway to Heaven,2022-12-06,73244
Imagine,2022-12-06,76251
Imagine,2022-12-07,4841
Imagine,2022-12-06,40290
Imagine,2022-12-12,14790
Hotel California,2022-12-07,96439
Like a Rolling Stone,2022-12-13,62368
Yesterday,2022-12-13,27155
Hotel California,2022-12-01,8396
Smells Like Teen Spirit,2022-12-13,77649
Wonderwall,2022-12-04,41752
Smells Like Teen Spirit,2022-12-06,41918
Stairway to Heaven,2022-12-06,61744
Sweet Child o' Mine,2022-12-13,28942
Wonderwall,2022-12-07,99358
Imagine,2022-12-07,16844
Stairway to Heaven,2022-12-07,20038
Yesterday,2022-12-04,58506
Bohemian Rhapsody,2022-12-11,6042
Yesterday,2022-12-06,28416
Hotel California,2022-12-08,31869
Stairway to Heaven,2022-12-13,16103
Yesterday,2022-12-08,5725
Stairway to Heaven,2022-12-05,56863
Sweet Child o' Mine,2022-12-01,80431
Smells Like Teen Spirit,2022-12-12,25534
Hotel California,2022-12-07,40297
Hey Jude,2022-12-07,66735
Bohemian Rhapsody,2022-12-12,58043
Hey Jude,2022-12-10,97769
Yesterday,2022-12-13,21605
Hey Jude,2022-12-01,29551
Bohemian Rhapsody,2022-12-01,28104
Yesterday,2022-12-07,68783
Bohemian Rhapsody,2022-12-07,89899
Bohemian Rhapsody,2022-12-06,49450
Yesterday,2022-12-02,73346
Stairway to Heaven,2022-12-05,40029
Bohemian Rhapsody,2022-12-05,91612
Hey Jude,2022-12-04,62259
Sweet Child o' Mine,2022-12-04,35515
Smells Like Teen Spirit,2022-12-03,17863
Sweet Child o' Mine,2022-12-07,28042
Hotel California,2022-12-04,56682
Yesterday,2022-12-12,80608
Bohemian Rhapsody,2022-12-07,73225
Imagine,2022-12-14,78427
Like a Rolling Stone,2022-12-12,22220
Bohemian Rhapsody,2022-12-11,80716
Bohemian Rhapsody,2022-12-07,67196
Sweet Child o' Mine,2022-12-10,96069
Sweet Child o' Mine,2022-12-13,66924
Smells Like Teen Spirit,2022-12-08,71762
Smells Like Teen Spirit,2022-12-13,93758
Hotel California,2022-12-04,49271
Like a Rolling Stone,2022-12-01,65984
Yesterday,2022-12-06,71056
Sweet Child o' Mine,2022-12-07,19617
Like a Rolling Stone,2022-12-06,52073
Bohemian Rhapsody,2022-12-13,32992
Wonderwall,2022-12-12,82275
Hotel California,2022-12-07,93693
Smells Like Teen Spirit,2022-12-11,82556
Bohemian Rhapsody,2022-12-11,22262
Stairway to Heaven,2022-12-13,68262
Stairway to Heaven,2022-12-09,8032
Sweet Child o' Mine,2022-12-12,91220
Wonderwall,2022-12-11,89585
Imagine,2022-12-08,80706
Wonderwall,2022-12-03,97193
Smells Like Teen Spirit,2022-12-09,195
Imagine,2022-12-11,65437
Bohemian Rhapsody,2022-12-03,96709
Like a Rolling Stone,2022-12-05,79261
Smells Like Teen Spirit,2022-12-02,86829
Yesterday,2022-12-01,456
Stairway to Heaven,2022-12-10,5939
Hotel California,2022-12-05,42387
Wonderwall,2022-12-03,46270
Yesterday,2022-12-11,6372
Bohemian Rhapsody,2022-12-03,54035
Hey Jude,2022-12-01,20707
Bohemian Rhapsody,2022-12-13,54046
Stairway to Heaven,2022-12-09,25544
Hotel California,2022-12-08,60524
Wonderwall,2022-12-08,24444
Stairway to Heaven,2022-12-02,41233
Bohemian Rhapsody,2022-12-06,295
Hey Jude,2022-12-05,468
Smells Like Teen Spirit,2022-12-09,74761
Yesterday,2022-12-04,98507
Wonderwall,2022-12-08,59922
Imagine,2022-12-10,82977
Hey Jude,2022-12-13,70692
Hotel California,2022-12-14,83595
Stairway to Heaven,2022-12-14,94849
Yesterday,2022-12-13,27937
Stairway to Heaven,2022-12-07,87403
Yesterday,2022-12-02,35282
Bohemian Rhapsody,2022-12-03,1771
Hotel California,2022-12-13,99271
Stairway to Heaven,2022-12-10,25557
Like a Rolling Stone,2022-12-03,36584
Hotel California,2022-12-01,35690
Hey Jude,2022-12-04,51220
Imagine,2022-12-05,68086
Like a Rolling Stone,2022-12-06,39253
Stairway to Heaven,2022-12-05,1872
Sweet Child o' Mine,2022-12-01,39672
Stairway to Heaven,2022-12-12,69274
Sweet Child o' Mine,2022-12-03,80365
Yesterday,2022-12-02,6425
Bohemian Rhapsody,2022-12-10,47162
Hey Jude,2022-12-02,32845
Like a Rolling Stone,2022-12-07,76176
Smells Like Teen Spirit,2022-12-01,67530
Imagine,2022-12-04,49411
Hotel California,2022-12-07,59091
Yesterday,2022-12-09,18633
Smells Like Teen Spirit,2022-12-09,90251
Sweet Child o' Mine,2022-12-12,13121
Hotel California,2022-12-14,80587
Imagine,2022-12-07,49372
Hey Jude,2022-12-08,70349
Hey Jude,2022-12-11,36221
Hey Jude,2022-12-04,42875
Sweet Child o' Mine,2022-12-03,91100
Bohemian Rhapsody,2022-12-07,5778
Smells Like Teen Spirit,2022-12-03,87502
Wonderwall,2022-12-07,86395
Sweet Child o' Mine,2022-12-14,69912
Imagine,2022-12-03,68660
Hotel California,2022-12-09,13406
Smells Like Teen Spirit,2022-12-12,26452
Bohemian Rhapsody,2022-12-12,86612
Like a Rolling Stone,2022-12-06,72567
Like a Rolling Stone,2022-12-14,23745
Hey Jude,2022-12-14,31129
Yesterday,2022-12-01,81734
Imagine,2022-12-01,85368
Stairway to Heaven,2022-12-09,13360
Like a Rolling Stone,2022-12-12,93189
Smells Like Teen Spirit,2022-12-13,39549
Sweet Child o' Mine,2022-12-11,23416
Yesterday,2022-12-08,92611
Imagine,2022-12-06,95567
Hey Jude,2022-12-05,6652
Like a Rolling Stone,2022-12-04,13504
Imagine,2022-12-08,39896
Imagine,2022-12-07,64463
Hotel California,2022-12-01,38040
Wonderwall,2022-12-13,99587
Wonderwall,2022-12-03,78175
Yesterday,2022-12-14,62479
Stairway to Heaven,2022-12-09,15300
Like a Rolling Stone,2022-12-01,59215
Hotel California,2022-12-13,5833
Sweet Child o' Mine,2022-12-05,82891
Sweet Child o' Mine,2022-12-14,21267
Sweet Child o' Mine,2022-12-06,57540
Stairway to Heaven,2022-12-01,66537
Like a Rolling Stone,2022-12-04,37235
Stairway to Heaven,2022-12-02,53092
Like a Rolling Stone,2022-12-11,84075
Wonderwall,2022-12-07,78879
Bohemian Rhapsody,2022-12-13,63666
Sweet Child o' Mine,2022-12-11,7875
Hotel California,2022-12-14,82830
Smells Like Teen Spirit,2022-12-07,63146
Yesterday,2022-12-14,18677
Wonderwall,2022-12-01,49668
Hey Jude,2022-12-05,79681
Stairway to Heaven,2022-12-13,6575
Wonderwall,2022-12-04,79432
Hey Jude,2022-12-06,69175
Wonderwall,2022-12-11,59563
Smells Like Teen Spirit,2022-12-13,33883
Imagine,2022-12-05,98865
Imagine,2022-12-04,90517
Wonderwall,2022-12-04,58378
Hey Jude,2022-12-05,58137
Yesterday,2022-12-13,5521
Hotel California,2022-12-09,70206
Like a Rolling Stone,2022-12-03,15389
Stairway to Heaven,2022-12-07,5159
Hotel California,2022-12-11,91494
Wonderwall,2022-12-10,48149
Hey Jude,2022-12-12,61897
Like a Rolling Stone,2022-12-06,68568
Hey Jude,2022-12-02,70738
Bohemian Rhapsody,2022-12-14,52365
Like a Rolling Stone,2022-12-06,23405
Stairway to Heaven,2022-12-04,78631
Like a Rolling Stone,2022-12-14,18930
Yesterday,2022-12-05,52428
Bohemian Rhapsody,2022-12-10,41241
Smells Like Teen Spirit,2022-12-01,14346
Bohemian Rhapsody,2022-12-04,85416
Imagine,2022-12-06,74195
Imagine,2022-12-05,19127
Yesterday,2022-12-01,98224
Like a Rolling Stone,2022-12-01,85913
Sweet Child o' Mine,2022-12-13,49111
Stairway to Heaven,2022-12-14,91636
Sweet Child o' Mine,2022-12-11,10432
Hotel California,2022-12-03,48580
Imagine,2022-12-09,64566
Bohemian Rhapsody,2022-12-06,11087
Wonderwall,2022-12-01,1984
Hotel California,2022-12-03,45892
Smells Like Teen Spirit,2022-12-06,23492
Smells Like Teen Spirit,2022-12-11,99094
Hey Jude,2022-12-03,71418
Hey Jude,2022-12-07,63753
Hey Jude,2022-12-08,34992
Wonderwall,2022-12-03,8377
Stairway to Heaven,2022-12-04,23115
Bohemian Rhapsody,2022-12-05,76945
Wonderwall,2022-12-11,73472
Bohemian Rhapsody,2022-12-02,2070
Imagine,2022-12-07,65342
Imagine,2022-12-12,77395
Sweet Child o' Mine,2022-12-01,37673
Hotel California,2022-12-14,21721
Imagine,2022-12-03,87409
Hey Jude,2022-12-13,72548
Bohemian Rhapsody,2022-12-10,80705
Bohemian Rhapsody,2022-12-10,5703
Sweet Child o' Mine,2022-12-12,18851
Yesterday,2022-12-04,65143
Wonderwall,2022-12-12,19646
Wonderwall,2022-12-06,69568
Hey Jude,2022-12-06,30213
Sweet Child o' Mine,2022-12-04,82945
Hotel California,2022-12-14,72771
Stairway to Heaven,2022-12-10,75821
Yesterday,2022-12-12,34270
Bohemian Rhapsody,2022-12-09,17397
Like a Rolling Stone,2022-12-09,54469
Smells Like Teen Spirit,2022-12-04,55175
Hey Jude,2022-12-10,99351
Sweet Child o' Mine,2022-12-11,14906
Smells Like Teen Spirit,2022-12-11,73398
Bohemian Rhapsody,2022-12-14,20239
Yesterday,2022-12-14,67366
Like a Rolling Stone,2022-12-11,82363
Stairway to Heaven,2022-12-02,75500
Hotel California,2022-12-13,74218
Sweet Child o' Mine,2022-12-03,49550
Hey Jude,2022-12-03,60485
Smells Like Teen Spirit,2022-12-04,99001
Hey Jude,2022-12-13,61684
Like a Rolling Stone,2022-12-11,90362
Smells Like Teen Spirit,2022-12-13,88066
Sweet Child o' Mine,2022-12-05,92275
Imagine,2022-12-07,94662
Like a Rolling Stone,2022-12-06,33863
Stairway to Heaven,2022-12-04,35258
Hotel California,2022-12-14,16016
Yesterday,2022-12-06,62876
Wonderwall,2022-12-09,85215
Smells Like Teen Spirit,2022-12-10,72325
Bohemian Rhapsody,2022-12-06,89878
Imagine,2022-12-03,54148
Hotel California,2022-12-08,88940
Imagine,2022-12-12,80441
Yesterday,2022-12-01,38072
Like a Rolling Stone,2022-12-11,13488
Yesterday,2022-12-14,49227
Sweet Child o' Mine,2022-12-11,71683
Bohemian Rhapsody,2022-12-14,75839
Sweet Child o' Mine,2022-12-12,43639
Sweet Child o' Mine,2022-12-11,91647
Wonderwall,2022-12-14,89724
Hotel California,2022-12-11,32750
Stairway to Heaven,2022-12-11,78623
Yesterday,2022-12-10,42547
Hey Jude,2022-12-07,935
Bohemian Rhapsody,2022-12-06,88945
Smells Like Teen Spirit,2022-12-13,92917
Wonderwall,2022-12-07,70477
Yesterday,2022-12-13,67219
Bohemian Rhapsody,2022-12-03,5265
Yesterday,2022-12-12,94315
Imagine,2022-12-06,69602
Hey Jude,2022-12-03,98945
Imagine,2022-12-08,64240
Hey Jude,2022-12-09,29306
Like a Rolling Stone,2022-12-04,15851
Hey Jude,2022-12-04,54766
Sweet Child o' Mine,2022-12-07,43741
Wonderwall,2022-12-12,63684
Stairway to Heaven,2022-12-10,48341
Wonderwall,2022-12-07,94020
Smells Like Teen Spirit,2022-12-09,80619
Yesterday,2022-12-03,44118
Wonderwall,2022-12-11,37647
Imagine,2022-12-03,80310
Hotel California,2022-12-07,69544
Smells Like Teen Spirit,2022-12-13,6444
Bohemian Rhapsody,2022-12-11,61715
Sweet Child o' Mine,2022-12-07,17872
Imagine,2022-12-11,82905
Hotel California,2022-12-08,53747
Yesterday,2022-12-09,80011
Sweet Child o' Mine,2022-12-05,87735
Sweet Child o' Mine,2022-12-02,86471
Wonderwall,2022-12-04,19275
Sweet Child o' Mine,2022-12-01,31728
Sweet Child o' Mine,2022-12-01,6327
Imagine,2022-12-08,24545
Smells Like Teen Spirit,2022-12-06,75895
Imagine,2022-12-05,53228
Imagine,2022-12-09,24764
Hotel California,2022-12-13,49292
Hotel California,2022-12-14,80228
Bohemian Rhapsody,2022-12-07,70962
Yesterday,2022-12-14,73313
Imagine,2022-12-03,98687
Wonderwall,2022-12-13,28338
Yesterday,2022-12-04,73688
Smells Like Teen Spirit,2022-12-13,18867
Yesterday,2022-12-10,93683
Hotel California,2022-12-09,57134
Hey Jude,2022-12-05,71405
Stairway to Heaven,2022-12-04,11415
Stairway to Heaven,2022-12-14,81902
Hey Jude,2022-12-09,36918
Like a Rolling Stone,2022-12-05,79211
Yesterday,2022-12-08,42043
Sweet Child o' Mine,2022-12-06,80123
Imagine,2022-12-05,18124
Sweet Child o' Mine,2022-12-03,29558
Hey Jude,2022-12-06,50760
Stairway to Heaven,2022-12-06,37052
Sweet Child o' Mine,2022-12-03,52660
Smells Like Teen Spirit,2022-12-12,56142
Hotel California,2022-12-02,61852
Hotel California,2022-12-14,74107
Yesterday,2022-12-02,92578
Hey Jude,2022-12-12,55465
Smells Like Teen Spirit,2022-12-07,69702
Imagine,2022-12-13,71465
Stairway to Heaven,2022-12-02,30048
Sweet Child o' Mine,2022-12-08,76749
Sweet Child o' Mine,2022-12-09,58742
Yesterday,2022-12-09,27382
Hey Jude,2022-12-05,54254
Smells Like Teen Spirit,2022-12-01,84100
Imagine,2022-12-04,59870
Stairway to Heaven,2022-12-05,35775
Bohemian Rhapsody,2022-12-09,83629
Wonderwall,2022-12-04,77577
Bohemian Rhapsody,2022-12-12,43195
Hotel California,2022-12-02,99333
Bohemian Rhapsody,2022-12-05,7730
Wonderwall,2022-12-05,33356
Like a Rolling Stone,2022-12-02,10713
Wonderwall,2022-12-09,45168
Hey Jude,2022-12-05,28903
Hey Jude,2022-12-11,15243
Sweet Child o' Mine,2022-12-04,41290
Smells Like Teen Spirit,2022-12-04,70893
Yesterday,2022-12-06,38757
Yesterday,2022-12-13,50098
Hotel California,2022-12-03,58741
Stairway to Heaven,2022-12-10,49429
Like a Rolling Stone,2022-12-07,58180
Hey Jude,2022-12-09,74660
Hotel California,2022-12-12,271
Sweet Child o' Mine,2022-12-03,34949
Bohemian Rhapsody,2022-12-04,4131
Bohemian Rhapsody,2022-12-08,30192
Stairway to Heaven,2022-12-14,55860
Smells Like Teen Spirit,2022-12-02,95543
Smells Like Teen Spirit,2022-12-09,21774
Imagine,2022-12-04,17663
Stairway to Heaven,2022-12-11,13027
Hotel California,2022-12-02,56967
Smells Like Teen Spirit,2022-12-12,41763
Stairway to Heaven,2022-12-03,59220
Sweet Child o' Mine,2022-12-14,75138
Hey Jude,2022-12-09,39615
Imagine,2022-12-08,21068
Hey Jude,2022-12-13,12768
Hey Jude,2022-12-04,85144
Like a Rolling Stone,2022-12-05,9989
Smells Like Teen Spirit,2022-12-14,31246
Wonderwall,2022-12-01,9185
Sweet Child o' Mine,2022-12-11,99156
Hey Jude,2022-12-01,68301
